Area,Year,Total,Male,Female,Gap
Aruba,2011,58.1,63.6,53.4,10.20
Afghanistan,2021,46.906,72.553,22.014,50.54
Angola,2025,66.617,67.49,65.803,1.69
Anguilla,2002,66.6,72.3,60.8,11.50
Albania,2024,58.136,64.437,52.063,12.37
Netherlands Antilles,2011,52.226,56.975,48.508,8.47
United Arab Emirates,2025,80.786,90.624,56.051,34.57
Argentina,2025,57.632,67.092,48.921,18.17
Armenia,2023,59.876,70.453,51.48,18.97
Antigua and Barbuda,2023,69.997,74.634,65.863,8.77
Australia,2025,64.152,67.703,60.712,6.99
Austria,2025,58.131,62.327,54.107,8.22
Azerbaijan,2022,62.0,66.2,57.9,8.30
Burundi,2020,77.748,78.078,77.485,0.59
Belgium,2025,52.493,56.41,48.716,7.69
Benin,2022,74.995,76.564,73.609,2.95
Burkina Faso,2025,63.284,70.984,56.844,14.14
Bangladesh,2024,56.762,76.981,37.084,39.90
Bulgaria,2025,53.188,59.333,47.629,11.70
Bahrain,2015,70.928,86.796,42.006,44.79
Bahamas,2024,46.87,49.481,44.542,4.94
Bosnia and Herzegovina,2025,46.327,57.435,35.763,21.67
Belarus,2025,68.496,72.79,64.731,8.06
Belize,2019,63.414,77.585,49.418,28.17
Bermuda,2010,70.129,74.242,66.412,7.83
"Bolivia, Plurinational State of",2025,78.054,84.019,72.425,11.59
Brazil,2025,59.514,69.929,49.829,20.10
Barbados,2024,58.992,62.3,55.989,6.31
Brunei Darussalam,2025,60.2,68.329,50.72,17.61
Bhutan,2025,62.562,71.338,52.925,18.41
Botswana,2024,52.183,56.862,47.98,8.88
Canada,2025,60.83,64.591,57.109,7.48
Switzerland,2025,64.075,68.524,59.72,8.80
Chile,2025,56.933,66.031,48.197,17.83
Côte d'Ivoire,2022,65.598,73.943,58.058,15.88
Cameroon,2021,63.177,72.607,55.283,17.32
"Congo, Democratic Republic of the",2020,62.51,65.532,59.635,5.90
Congo,2009,36.003,32.667,39.144,-6.48
Cook Islands,2023,71.129,74.585,67.917,6.67
Colombia,2025,58.581,71.429,46.74,24.69
Comoros,2021,52.77,61.046,44.858,16.19
Cape Verde,2019,50.9,57.6,44.4,13.20
Costa Rica,2025,52.388,63.804,40.944,22.86
Cuba,2013,70.5,84.4,55.3,29.10
Curaçao,2020,47.8,48.9,43.0,5.90
Cayman Islands,2015,79.277,81.816,76.765,5.05
Cyprus,2025,62.319,67.74,57.158,10.58
Czechia,2025,59.31,65.647,53.389,12.26
Germany,2025,59.309,63.87,54.904,8.97
Djibouti,2025,27.87,40.04,16.383,23.66
Dominica,2001,51.366,61.84,40.797,21.04
Denmark,2025,61.044,65.555,56.638,8.92
Dominican Republic,2025,62.876,75.716,51.114,24.60
Algeria,2017,36.9,60.0,13.5,46.50
Ecuador,2025,62.217,75.058,49.923,25.14
Egypt,2024,45.104,68.096,20.993,47.10
Spain,2025,52.079,57.095,47.312,9.78
Estonia,2025,61.487,65.699,57.813,7.89
Ethiopia,2021,65.567,76.876,54.566,22.31
Finland,2025,55.022,57.673,52.442,5.23
Fiji,2024,51.891,68.072,35.164,32.91
France,2025,52.572,56.084,49.332,6.75
Faroe Islands,2013,79.556,83.107,75.586,7.52
"Micronesia, Federated States of",2014,51.852,64.204,39.781,24.42
Gabon,2024,40.908,49.163,33.496,15.67
United Kingdom of Great Britain and Northern Ireland,2025,59.765,63.145,56.567,6.58
Georgia,2025,60.345,67.514,54.091,13.42
Guernsey,2016,76.13,81.201,71.0,10.20
Ghana,2025,68.148,69.244,67.294,1.95
Gibraltar,1991,46.1,58.013,33.683,24.33
Guinea,2019,50.225,61.941,40.701,21.24
Guadeloupe,2013,38.933,43.044,35.564,7.48
Gambia,2025,47.658,51.674,43.979,7.70
Guinea-Bissau,2022,63.11,67.757,59.014,8.74
Equatorial Guinea,2023,55.218,59.605,51.236,8.37
Greece,2025,48.213,56.309,40.636,15.67
Grenada,2023,58.422,63.969,52.635,11.33
Greenland,2015,60.0,63.0,57.0,6.00
Guatemala,2025,62.719,82.075,45.661,36.41
French Guiana,2013,42.001,48.986,35.684,13.30
Guam,2011,54.3,61.6,47.7,13.90
Guyana,2024,53.124,65.304,41.048,24.26
"Hong Kong, China",2025,54.91,59.591,51.138,8.45
Honduras,2025,55.339,73.58,40.143,33.44
Croatia,2025,51.442,55.871,47.243,8.63
Haiti,2012,55.113,65.922,45.322,20.60
Hungary,2025,58.784,65.226,52.898,12.33
Indonesia,2023,65.044,78.606,51.305,27.30
Isle of Man,2016,81.935,85.497,78.276,7.22
India,2025,52.771,73.578,32.52,41.06
Ireland,2025,63.067,67.813,58.472,9.34
"Iran, Islamic Republic of",2024,37.601,63.193,12.093,51.10
Iraq,2021,33.248,58.497,7.719,50.78
Iceland,2025,72.27,75.576,68.793,6.78
Israel,2025,60.581,63.491,57.788,5.70
Italy,2025,46.845,55.382,38.781,16.60
Jamaica,2023,64.365,70.754,58.2,12.55
Jersey,2011,77.678,81.181,73.842,7.34
Jordan,2024,33.961,52.55,13.231,39.32
Japan,2025,62.225,69.796,55.142,14.65
Kazakhstan,2022,95.1,95.7,94.5,1.20
Kenya,2021,64.861,70.968,59.358,11.61
Kyrgyzstan,2023,54.93,69.013,41.675,27.34
Cambodia,2025,76.999,83.048,71.43,11.62
Kiribati,2023,53.065,61.815,45.029,16.79
Saint Kitts and Nevis,2001,65.263,68.768,61.668,7.10
Republic of Korea,2025,63.111,70.683,55.739,14.94
Kosovo,2024,33.836,49.515,18.387,31.13
Kuwait,2016,72.242,87.022,46.984,40.04
Lao People's Democratic Republic,2022,65.203,69.695,60.919,8.78
Lebanon,2019,43.368,63.568,25.15,38.42
Liberia,2017,43.944,47.058,41.173,5.88
Libya,2012,38.664,51.3,25.304,26.00
Saint Lucia,2025,63.627,69.98,57.792,12.19
Liechtenstein,2017,59.05,66.226,52.143,14.08
Sri Lanka,2024,45.303,65.387,27.705,37.68
Lesotho,2024,53.175,61.957,45.005,16.95
Lithuania,2025,58.742,62.7,55.23,7.47
Luxembourg,2025,58.234,61.799,54.632,7.17
Latvia,2025,57.366,62.329,53.247,9.08
"Macau, China",2016,70.9,76.0,66.2,9.80
Morocco,2022,39.1,62.4,16.4,46.00
Monaco,2016,47.894,57.073,39.223,17.85
Republic of Moldova,2025,71.426,74.282,69.042,5.24
Madagascar,2022,72.623,79.157,66.499,12.66
Maldives,2019,60.729,74.646,48.615,26.03
Mexico,2025,58.83,74.209,45.275,28.93
Marshall Islands,2021,44.645,55.806,33.059,22.75
North Macedonia,2025,45.942,53.807,38.353,15.45
Mali,2024,59.179,78.267,42.353,35.91
Malta,2025,65.426,72.243,57.549,14.69
Myanmar,2020,59.263,76.707,44.66,32.05
Montenegro,2024,56.391,62.897,49.991,12.91
Mongolia,2025,58.122,65.97,50.722,15.25
Northern Mariana Islands,2010,64.185,70.129,57.88,12.25
Mozambique,2022,73.466,75.767,71.458,4.31
Mauritania,2019,40.731,58.953,25.359,33.59
Montserrat,2020,64.211,64.993,63.434,1.56
Martinique,2013,41.01,41.52,40.59,0.93
Mauritius,2024,54.348,65.289,44.19,21.10
Malawi,2024,41.941,48.094,36.733,11.36
Malaysia,2022,66.5,78.8,53.5,25.30
Namibia,2023,30.342,34.336,26.627,7.71
New Caledonia,2023,53.27,58.395,48.298,10.10
Niger,2022,79.292,86.865,73.153,13.71
Nigeria,2024,78.719,80.466,77.071,3.39
Nicaragua,2014,62.034,80.147,45.352,34.80
Niue,2022,61.177,62.5,59.906,2.59
Netherlands,2025,66.009,70.28,61.806,8.47
Norway,2025,62.586,65.94,59.209,6.73
Nepal,2017,35.66,49.572,24.557,25.02
Naoero,2024,35.383,36.972,33.802,3.17
New Zealand,2025,66.792,70.786,62.901,7.88
Oman,2022,68.272,85.082,35.822,49.26
Pakistan,2025,51.492,76.613,25.391,51.22
Panama,2025,57.332,68.988,46.699,22.29
Peru,2025,68.61,76.979,60.544,16.44
Philippines,2024,58.789,69.444,48.107,21.34
Palau,2023,65.718,70.802,59.501,11.30
Papua New Guinea,2022,50.59,51.596,49.541,2.05
Poland,2025,56.948,63.888,50.547,13.34
Puerto Rico,2020,37.18,41.605,33.273,8.33
Portugal,2025,55.817,59.954,52.099,7.86
Paraguay,2025,68.694,79.567,57.851,21.72
"Palestine, State of",2025,32.45,51.49,12.818,38.67
French Polynesia,2012,44.078,50.005,37.916,12.09
Qatar,2024,87.86,95.466,63.275,32.19
Réunion,2013,39.01,43.959,34.521,9.44
Romania,2025,48.256,57.749,39.486,18.26
Russian Federation,2025,61.498,69.099,55.169,13.93
Rwanda,2025,72.662,76.148,69.566,6.58
Saudi Arabia,2025,65.225,82.262,32.221,50.04
Sudan,2022,35.009,58.172,12.367,45.80
Senegal,2024,41.986,55.631,28.777,26.85
Singapore,2025,65.663,71.256,60.456,10.80
Saint Helena,1998,52.854,59.625,46.118,13.51
Solomon Islands,2013,85.363,87.291,83.297,3.99
Sierra Leone,2018,65.151,67.533,63.117,4.42
El Salvador,2025,59.595,74.824,47.039,27.78
San Marino,2022,66.998,68.513,65.514,3.00
Somalia,2022,27.98,40.486,17.398,23.09
Serbia,2025,54.7,61.405,48.467,12.94
South Sudan,2008,64.892,68.007,61.929,6.08
Sao Tome and Principe,2017,54.699,68.871,41.355,27.52
Suriname,2016,51.672,63.513,40.305,23.21
Slovakia,2025,57.903,63.726,52.418,11.31
Slovenia,2025,56.23,60.512,51.876,8.64
Sweden,2025,61.6,64.223,58.948,5.27
Eswatini,2023,33.495,36.979,30.551,6.43
Seychelles,2025,62.88,66.375,59.624,6.75
Syrian Arab Republic,2010,39.0,67.7,10.1,57.60
Chad,2022,51.141,63.112,41.036,22.08
Togo,2022,69.339,71.387,67.609,3.78
Thailand,2025,66.643,75.104,58.954,16.15
Tajikistan,2016,39.674,56.358,22.458,33.90
Tokelau,2022,49.548,54.63,44.714,9.92
Timor-Leste,2022,46.009,51.665,40.234,11.43
Tonga,2023,50.566,60.69,41.943,18.75
Trinidad and Tobago,2024,52.344,59.982,45.096,14.89
Tunisia,2023,38.537,56.575,21.221,35.35
Türkiye,2025,49.049,66.388,32.079,34.31
Tuvalu,2022,40.726,48.899,32.306,16.59
"Taiwan, China",2020,56.863,64.614,49.479,15.14
"Tanzania, United Republic of",2025,81.342,86.81,76.273,10.54
Uganda,2021,76.648,81.997,71.687,10.31
Ukraine,2021,49.266,56.867,42.92,13.95
Uruguay,2025,60.739,69.242,52.901,16.34
United States of America,2025,59.745,64.85,54.883,9.97
Uzbekistan,2020,53.241,70.26,36.856,33.40
"Venezuela, Bolivarian Republic of",2020,55.377,67.422,43.514,23.91
British Virgin Islands,1991,74.173,81.37,66.52,14.85
Viet Nam,2024,71.341,75.776,67.084,8.69
Vanuatu,2025,68.644,71.891,65.334,6.56
Wallis and Futuna,2023,64.824,71.095,59.17,11.92
Samoa,2022,41.59,54.616,28.969,25.65
Yemen,2014,31.37,57.337,4.46,52.88
South Africa,2024,37.632,42.967,32.625,10.34
Zambia,2024,59.658,65.63,53.798,11.83
Zimbabwe,2025,65.138,71.666,59.632,12.03
