"Area","Year","Total","Male","Female"
"Aruba","2011",58.1,63.6,53.4
"Afghanistan","2021",46.906,72.553,22.014
"Angola","2025",66.617,67.49,65.803
"Anguilla","2002",66.6,72.3,60.8
"Albania","2024",58.136,64.437,52.063
"Netherlands Antilles","2011",52.226,56.975,48.508
"United Arab Emirates","2025",80.786,90.624,56.051
"Argentina","2025",57.632,67.092,48.921
"Armenia","2023",59.876,70.453,51.48
"American Samoa","2010",47.792,,
"Antigua and Barbuda","2023",69.997,74.634,65.863
"Australia","2025",64.152,67.703,60.712
"Austria","2025",58.131,62.327,54.107
"Azerbaijan","2022",62,66.2,57.9
"Burundi","2020",77.748,78.078,77.485
"Belgium","2025",52.493,56.41,48.716
"Benin","2022",74.995,76.564,73.609
"Burkina Faso","2025",63.284,70.984,56.844
"Bangladesh","2024",56.762,76.981,37.084
"Bulgaria","2025",53.188,59.333,47.629
"Bahrain","2015",70.928,86.796,42.006
"Bahamas","2024",46.87,49.481,44.542
"Bosnia and Herzegovina","2025",46.327,57.435,35.763
"Belarus","2025",68.496,72.79,64.731
"Belize","2019",63.414,77.585,49.418
"Bermuda","2010",70.129,74.242,66.412
"Bolivia, Plurinational State of","2025",78.054,84.019,72.425
"Brazil","2025",59.514,69.929,49.829
"Barbados","2024",58.992,62.3,55.989
"Brunei Darussalam","2025",60.2,68.329,50.72
"Bhutan","2025",62.562,71.338,52.925
"Botswana","2024",52.183,56.862,47.98
"Canada","2025",60.83,64.591,57.109
"Switzerland","2025",64.075,68.524,59.72
"Chile","2025",56.933,66.031,48.197
"China","2019",67.35,,
"Côte d'Ivoire","2022",65.598,73.943,58.058
"Cameroon","2021",63.177,72.607,55.283
"Congo, Democratic Republic of the","2020",62.51,65.532,59.635
"Congo","2009",36.003,32.667,39.144
"Cook Islands","2023",71.129,74.585,67.917
"Colombia","2025",58.581,71.429,46.74
"Comoros","2021",52.77,61.046,44.858
"Cape Verde","2019",50.9,57.6,44.4
"Costa Rica","2025",52.388,63.804,40.944
"Cuba","2013",70.5,84.4,55.3
"Curaçao","2020",47.8,48.9,43
"Cayman Islands","2015",79.277,81.816,76.765
"Cyprus","2025",62.319,67.74,57.158
